provinsi_id,kode_satker,nama satuankerja
19,5320,BPS Kabupaten Sabu Raijua
19,5321,BPS Kabupaten Malaka
19,5371,BPS Kota Kupang
20,6100,BPS Provinsi Kalimantan Barat
20,6101,BPS Kabupaten Sambas
20,6102,BPS Kabupaten Bengkayang
20,6103,BPS Kabupaten Landak
20,6104,BPS Kabupaten Mempawah
20,6105,BPS Kabupaten Sanggau
20,6106,BPS Kabupaten Ketapang
20,6107,BPS Kabupaten Sintang
20,6108,BPS Kabupaten Kapuas Hulu
20,6109,BPS Kabupaten Sekadau
20,6110,BPS Kabupaten Melawi
20,6111,BPS Kabupaten Kayong Utara
20,6112,BPS Kabupaten Kubu Raya
20,6171,BPS Kota Pontianak
20,6172,BPS Kota Singkawang
21,6200,BPS Provinsi Kalimantan Tengah
21,6201,BPS Kabupaten Kotawaringin Barat
21,6202,BPS Kabupaten Kotawaringin Timur
21,6203,BPS Kabupaten Kapuas
21,6204,BPS Kabupaten Barito Selatan
21,6205,BPS Kabupaten Barito Utara
21,6206,BPS Kabupaten Sukamara
21,6207,BPS Kabupaten Lamandau
21,6208,BPS Kabupaten Seruyan
21,6209,BPS Kabupaten Katingan
21,6210,BPS Kabupaten Pulang Pisau
21,6211,BPS Kabupaten Gunung Mas
21,6212,BPS Kabupaten Barito Timur
21,6213,BPS Kabupaten Murung Raya
21,6271,BPS Kota Palangka Raya
22,6300,BPS Provinsi Kalimantan Selatan
22,6301,BPS Kabupaten Tanah Laut
22,6302,BPS Kabupaten Kotabaru
22,6303,BPS Kabupaten Banjar
22,6304,BPS Kabupaten Barito Kuala
22,6305,BPS Kabupaten Tapin
22,6306,BPS Kabupaten Hulu Sungai Selatan
22,6307,BPS Kabupaten Hulu Sungai Tengah
22,6308,BPS Kabupaten Hulu Sungai Utara
22,6309,BPS Kabupaten Tabalong
22,6310,BPS Kabupaten Tanah Bumbu
22,6311,BPS Kabupaten Balangan
22,6371,BPS Kota Banjarmasin
22,6372,BPS Kota Banjar Baru
23,6400,BPS Provinsi Kalimantan Timur
23,6401,BPS Kabupaten Paser
23,6402,BPS Kabupaten Kutai Barat
23,6403,BPS Kabupaten Kutai Kartanegara
23,6404,BPS Kabupaten Kutai Timur
23,6405,BPS Kabupaten Berau
23,6409,BPS Kabupaten Penajam Paser Utara
23,6411,BPS Kabupaten Mahakam Hulu
23,6471,BPS Kota Balikpapan
23,6472,BPS Kota Samarinda
23,6474,BPS Kota Bontang
24,6500,BPS Provinsi Kalimantan Utara
24,6501,BPS Kabupaten Malinau
24,6502,BPS Kabupaten Bulungan
24,6503,BPS Kabupaten Tana Tidung
24,6504,BPS Kabupaten Nunukan
24,6571,BPS Kota Tarakan
25,7100,BPS Provinsi Sulawesi Utara
25,7101,BPS Kabupaten Bolaang Mongondow
25,7102,BPS Kabupaten Minahasa
25,7103,BPS Kabupaten Kepulauan Sangihe
25,7104,BPS Kabupaten Kepulauan Talaud
25,7105,BPS Kabupaten Minahasa Selatan
25,7106,BPS Kabupaten Minahasa Utara
25,7107,BPS Kabupaten Bolaang Mongondow Utara
25,7108,BPS Kabupaten Siau Tagulandang Biaro
25,7109,BPS Kabupaten Minahasa Tenggara
25,7110,BPS Kabupaten Bolaang Mongondow Selatan
25,7111,BPS Kabupaten Bolaang Mongondow Timur
25,7171,BPS Kota Manado
25,7172,BPS Kota Bitung
25,7173,BPS Kota Tomohon
25,7174,BPS Kota Kotamobagu
26,7200,BPS Provinsi Sulawesi Tengah
26,7201,BPS Kabupaten Banggai Kepulauan
26,7202,BPS Kabupaten Banggai
26,7203,BPS Kabupaten Morowali
26,7204,BPS Kabupaten Poso
26,7205,BPS Kabupaten Donggala
26,7206,BPS Kabupaten Toli-toli
26,7207,BPS Kabupaten Buol
26,7208,BPS Kabupaten Parigi Moutong
26,7209,BPS Kabupaten Tojo Una-una
26,7210,BPS Kabupaten Sigi
26,7211,BPS Kabupaten Banggai Laut
26,7212,BPS Kabupaten Morowali Utara
26,7271,BPS Kota Palu
27,7300,BPS Provinsi Sulawesi Selatan
27,7301,BPS Kabupaten Kepulauan Selayar
